token,n,logprob
services,2937.0,-3.065539703675774
europe.com,1.0,-11.050683634874394
quote,106.0,-6.387244540762326
accomplices,1.0,-11.050683634874394
earned,51.0,-7.118858002150068
listed,234.0,-5.5953625195166925
instant,58.0,-6.990240624327974
european,67.0,-6.845991015483428
partner,1177.0,-3.9799595276141173
6.5m,1.0,-11.050683634874394
grant,242.0,-5.5617459087177075
director,390.0,-5.084536895750702
cash,920.0,-4.226309964831308
nenitavilaran,1.0,-11.050683634874394
customer,1723.0,-3.598861398346464
top,659.0,-4.559960100371886
calculated,80.0,-6.668657000200512
esteem,30.0,-7.649486253212238
ideal,430.0,-4.9868984261867855
reach,2928.0,-3.0686087597931917
richard,170.0,-5.914885197824132
winning,92.0,-6.528895057825354
paxfuleu,1.0,-11.050683634874394
receive,589.0,-4.672257451222807
"1,000,000",30.0,-7.649486253212238
partners,443.0,-4.9571138648292585
return,558.0,-4.7263246724930825
theodore,7.0,-9.10477348581908
provide,3045.0,-3.0294274547303965
based,2671.0,-3.160475421764433
mecr,1.0,-11.050683634874394
private,564.0,-4.715629383376335
selling,1911.0,-3.495301690634121
development,2607.0,-3.184728220940892
ready,1470.0,-3.757665955101612
invest,570.0,-4.705047274045798
million,301.0,-5.343573370125518
country,860.0,-4.29375124562684
note,654.0,-4.567576283417195
assistance,1759.0,-3.5781828901368358
investor,505.0,-4.826125205599034
kickstart,33.0,-7.5541760734079135
fit,2149.0,-3.3779257382318835
specially,91.0,-6.539824128357544
chance,696.0,-4.505333974539974
flow,615.0,-4.629061367067876
prize,22.0,-7.959641181516078
teamed,11.0,-8.652788362076024
claims,43.0,-7.289483519180831
wondering,988.0,-4.155000937126526
100,620.0,-4.620964156835257
potential,1756.0,-3.579889860679332
conversion,183.0,-5.841197482032973
creativity,105.0,-6.39672328471687
build,2299.0,-3.310454110111212
astonishing,6.0,-9.25892416564634
gmail,242.0,-5.5617459087177075
bigler,1.0,-11.050683634874394
user,451.0,-4.939216295371716
biggest,585.0,-4.679071787642537
resources,841.0,-4.316091974901446
giftcards,1.0,-11.050683634874394
earn,258.0,-5.497724049952776
dan,139.0,-6.116209701743702
minimum,230.0,-5.612604325951199
sponsorship,89.0,-6.562047265142254
reference,145.0,-6.073949892453819
foundation,378.0,-5.115789439254806
current,1757.0,-3.5793205466872964
department,230.0,-5.612604325951199
requirement,219.0,-5.661611905057893
fast,379.0,-5.113147429791967
208,10.0,-8.748098541880347
pahsami,1.0,-11.050683634874394
idea,5e3,-2.5334904434581564
helmers,1.0,-11.050683634874394
junjin015,28.0,-7.71847912469919
notice,230.0,-5.612604325951199
profitable,564.0,-4.715629383376335
double,112.0,-6.332184763579299
grantstarteam,1.0,-11.050683634874394
continuous,47.0,-7.200536033164335
project,2115.0,-3.3938735433940153
lottery,11.0,-8.652788362076024
american,242.0,-5.5617459087177075
keen,225.0,-5.634583232669974
limited,785.0,-4.384999917091985
nenita,1.0,-11.050683634874394
usa,463.0,-4.91295658078816
paul,467.0,-4.904354377205497
email,6552.0,-2.2631580093414887
proposal,355.0,-5.178565845398978
converts,7.0,-9.10477348581908
yahoo.com,321.0,-5.2792425117443775
data,713.0,-4.481202214460098
exchange,324.0,-5.269940119082064
website,6148.0,-2.3268015302159073
profile,5698.0,-2.4028131198165403
age,456.0,-4.928190825360008
retains,1.0,-11.050683634874394
6280974,1.0,-11.050683634874394
ahead,567.0,-4.710324331146642
lianjinjun990,1.0,-11.050683634874394
jodie,1.0,-11.050683634874394
albert,20.0,-8.054951361320402
silent,22.0,-7.959641181516078
remember,417.0,-5.017597413075593
recommendations,205.0,-5.727673655735986
major,632.0,-4.6017942407275365
investments,163.0,-5.956933434067632
worlds,24.0,-7.872629804526448
deal,751.0,-4.429277983110259
lewis,19.0,-8.106244655707954
maximum,99.0,-6.4555637847398035
chris,587.0,-4.675658815046297
users,377.0,-5.118438447426383
success,1956.0,-3.472026784279631
financier.in,1.0,-11.050683634874394
enable,152.0,-6.026803114028118
opportunities,866.0,-4.286798726311958
property,576.0,-4.694575974178503
trust,572.0,-4.7015446434945956
information,2938.0,-3.0651992781405712
lacina,1.0,-11.050683634874394
genuine,92.0,-6.528895057825354
mix,133.0,-6.16033450665264
independently,25.0,-7.831807810006193
plan,5973.0,-2.355679042142088
america,211.0,-5.6988255013983276
international,694.0,-4.5082116743675895
day,3905.0,-2.7806705726006076
choosing,110.0,-6.350203269081978
investing,386.0,-5.094846265409563
inform,141.0,-6.101923744496226
fixed,172.0,-5.903189158060941
venture,1227.0,-3.9383561901634825
madam,58.0,-6.990240624327974
profit,1375.0,-3.824474624773722
lucky,101.0,-6.4355631180331345
established,548.0,-4.744408347926378
claim,78.0,-6.693974808184802
term,812.0,-4.351183294712716
message,2932.0,-3.0672435718678517
mentoring,4362.0,-2.6699976881128196
www.kenoamerica.com,1.0,-11.050683634874394
hesitate,164.0,-5.9508172070501955
grantstar,8.0,-8.971242093194558
firms,261.0,-5.4861632275517005
"2,500",13.0,-8.485734277412858
entrepreneurs,1236.0,-3.931047996856758
jun,35.0,-7.49533557338498
decided,760.0,-4.417365201594017
care,1173.0,-3.9833637862209184
funding,1148.0,-4.004907057994882
micromentor,1362.0,-3.8339741481649363
investment,801.0,-4.3648226878060346
www.micromentor.org,37.0,-7.439765722230169
keno,1.0,-11.050683634874394
details,1336.0,-3.8532482807778026
contact,3253.0,-2.9633507084010424
samuel,87.0,-6.58477551621981
securing,66.0,-6.861028892847968
shares,90.0,-6.550873964544129
kindly,693.0,-4.509653635684491
proceed,336.0,-5.233572474911189
overwhelming,118.0,-6.279999010408729
kenoamerica.com,1.0,-11.050683634874394
lucrative,90.0,-6.550873964544129
heights,33.0,-7.5541760734079135
ticket,38.0,-7.413097475148008
bidders,1.0,-11.050683634874394
purchase,512.0,-4.8123590098348865
dollars,214.0,-5.684707619852542
sales,3531.0,-2.8813472389460073
touch,1157.0,-3.9970979076807174
user's,15.0,-8.342633433772184
confidence,352.0,-5.1870524592762965
peterson,7.0,-9.10477348581908
www.grantstar.org,1.0,-11.050683634874394
commission,274.0,-5.437555528486324
contribute,161.0,-5.969279269889931
paxful,1.0,-11.050683634874394
ashley,161.0,-5.969279269889931
reply,1855.0,-3.5250436598328583
trade,396.0,-5.069269423619914
raffle,11.0,-8.652788362076024
short,1030.0,-4.113369553650712
instantly,39.0,-7.387121988744747
congratulations,381.0,-5.107884259747693
www.paxful.com,1.0,-11.050683634874394
8,861.0,-4.292589130446663
searching,359.0,-5.167361246386115
financial,1942.0,-3.4792099860231236
low,709.0,-4.486828108342267
awarded,25.0,-7.831807810006193
capital,798.0,-4.368575037424585
david,745.0,-4.4372994164948345
drive,533.0,-4.772162210708549
viable,297.0,-5.356951496071694
organization,902.0,-4.24606911481177
tools,562.0,-4.7191817849807025
gmail.com,2971.0,-3.0540297594117862
mentorship,972.0,-4.171327830413955
cornelius,1.0,-11.050683634874394
read,2786.0,-3.118321480534643
sums,21.0,-8.006161197150972
draw,138.0,-6.123429949717189
winner,24.0,-7.872629804526448
business,23627.0,-0.9805382300109182
team,1369.0,-3.828847809585945
gregory,31.0,-7.616696430389248
inherited,15.0,-8.342633433772184
conducted,44.0,-7.266494000956133
partnership,450.0,-4.941436052110029
send,3376.0,-2.926236779158546
jane,19.0,-8.106244655707954
dickens,1.0,-11.050683634874394
hiette,1.0,-11.050683634874394
submit,128.0,-6.198653370954776
vilaran,1.0,-11.050683634874394
assigned,26.0,-7.792587096852912
giftcard,1.0,-11.050683634874394
awaits,1.0,-11.050683634874394
purchasing,154.0,-6.013731032460765
experience,8052.0,-2.057007848114712
subject,206.0,-5.722807466084813
funds,636.0,-4.595485071534272
chuinard,1.0,-11.050683634874394
yearly,43.0,-7.289483519180831
cultural,84.0,-6.61986683603108
grants,173.0,-5.897392040376615
18,339.0,-5.224683527493943
jin,6.0,-9.25892416564634
traders,15.0,-8.342633433772184
hope,6944.0,-2.205050378534208
rfp's,7.0,-9.10477348581908
9047,7.0,-9.10477348581908
euro,23.0,-7.9151894189452445
stylish,15.0,-8.342633433772184
natural,431.0,-4.984575544770646
choose,489.0,-4.858321145399522
eg.linkedin.com,89.0,-6.562047265142254
"5,500.00",6.0,-9.25892416564634
pioneer,29.0,-7.68338780488792
chriscruzrnd,6.0,-9.25892416564634
danny,44.0,-7.266494000956133
zartonkptpi,7.0,-9.10477348581908
greased,13.0,-8.485734277412858
mak,64.0,-6.891800551514722
richardson,20.0,-8.054951361320402
dejame,13.0,-8.485734277412858
amy,182.0,-5.846676947797598
